甘肃电信IPTV,#genre#

CCTV-1,http://192.168.50.1:4022/rtp/239.255.30.101:8231
CCTV-2,http://192.168.50.1:4022/rtp/239.255.30.179:8231
CCTV-3,http://192.168.50.1:4022/rtp/239.255.29.12:8231
CCTV-4,http://192.168.50.1:4022/rtp/239.255.30.83:8231
CCTV-5,http://192.168.50.1:4022/rtp/239.255.29.13:8231
CCTV-5＋,http://192.168.50.1:4022/rtp/239.255.30.184:8231
爱体育,http://192.168.50.1:4022/rtp/239.255.30.115:8231
CCTV-6,http://192.168.50.1:4022/rtp/239.255.29.14:8231
CCTV-7HD,http://192.168.50.1:4022/rtp/239.255.30.178:8231
CCTV-8,http://192.168.50.1:4022/rtp/239.255.29.15:8231
CCTV-9,http://192.168.50.1:4022/rtp/239.255.30.180:8231
CCTV-10,http://192.168.50.1:4022/rtp/239.255.30.181:8231
CCTV-11,http://192.168.50.1:4022/rtp/239.255.30.62:8231
CCTV-12,http://192.168.50.1:4022/rtp/239.255.30.182:8231
CCTV-13,http://192.168.50.1:4022/rtp/239.255.29.28:8231
CCTV-14,http://192.168.50.1:4022/rtp/239.255.30.183:8231
CCTV-15,http://192.168.50.1:4022/rtp/239.255.30.68:8231
CCTV-16,http://192.168.50.1:4022/rtp/239.255.30.88:8231
CCTV-17,http://192.168.50.1:4022/rtp/239.255.30.96:8231
中国教育-1,http://192.168.50.1:4022/rtp/239.255.30.45:8231
中国教育-2,http://192.168.50.1:4022/rtp/239.255.30.46:8231
中国教育-1HD,http://192.168.50.1:4022/rtp/239.255.30.90:8231
中国交通频道,http://192.168.50.1:4022/rtp/239.255.29.29:8231
重庆卫视,http://192.168.50.1:4022/rtp/239.255.30.23:8231
四川卫视,http://192.168.50.1:4022/rtp/239.255.30.24:8231
陕西卫视,http://192.168.50.1:4022/rtp/239.255.30.25:8231
河南卫视,http://192.168.50.1:4022/rtp/239.255.30.26:8231
天津卫视,http://192.168.50.1:4022/rtp/239.255.30.27:8231
辽宁卫视,http://192.168.50.1:4022/rtp/239.255.30.28:8231
吉林卫视,http://192.168.50.1:4022/rtp/239.255.30.29:8231
黑龙江卫视,http://192.168.50.1:4022/rtp/239.255.30.30:8231
东南卫视,http://192.168.50.1:4022/rtp/239.255.30.31:8231
广东卫视,http://192.168.50.1:4022/rtp/239.255.30.32:8231
广西卫视,http://192.168.50.1:4022/rtp/239.255.30.33:8231
云南卫视,http://192.168.50.1:4022/rtp/239.255.30.34:8231
贵州卫视,http://192.168.50.1:4022/rtp/239.255.30.35:8231
海南卫视,http://192.168.50.1:4022/rtp/239.255.30.36:8231
北京卫视,http://192.168.50.1:4022/rtp/239.255.30.13:8231
金鹰卡通,http://192.168.50.1:4022/rtp/239.255.30.38:8231
卡酷卡通,http://192.168.50.1:4022/rtp/239.255.30.39:8231
深圳卫视,http://192.168.50.1:4022/rtp/239.255.30.40:8231
青海卫视,http://192.168.50.1:4022/rtp/239.255.30.41:8231
西藏卫视,http://192.168.50.1:4022/rtp/239.255.30.42:8231
内蒙古卫视,http://192.168.50.1:4022/rtp/239.255.30.43:8231
新疆卫视,http://192.168.50.1:4022/rtp/239.255.30.44:8231
三沙卫视,http://192.168.50.1:4022/rtp/239.255.29.27:8231
宁夏卫视,http://192.168.50.1:4022/rtp/239.255.30.48:8231
东方卫视,http://192.168.50.1:4022/rtp/239.255.30.14:8231
江苏卫视,http://192.168.50.1:4022/rtp/239.255.30.15:8231
浙江卫视,http://192.168.50.1:4022/rtp/239.255.30.16:8231
安徽卫视,http://192.168.50.1:4022/rtp/239.255.30.17:8231
山东卫视,http://192.168.50.1:4022/rtp/239.255.30.18:8231
山西卫视,http://192.168.50.1:4022/rtp/239.255.30.19:8231
湖南卫视,http://192.168.50.1:4022/rtp/239.255.30.20:8231
湖北卫视,http://192.168.50.1:4022/rtp/239.255.30.21:8231
江西卫视,http://192.168.50.1:4022/rtp/239.255.30.22:8231
河北卫视,http://192.168.50.1:4022/rtp/239.255.30.240:8231
厦门卫视,http://192.168.50.1:4022/rtp/239.255.30.241:8231
兵团卫视,http://192.168.50.1:4022/rtp/239.255.30.242:8231
哈哈炫动,http://192.168.50.1:4022/rtp/239.255.30.37:8231
农林卫视,http://192.168.50.1:4022/rtp/239.255.30.79:8231
